OTU_ID,taxonomy
ESV49,p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;NA;NA
ESV50,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;NA
ESV51,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Polydesmia;s__pruinosa
ESV52,p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Cryphonectriaceae;NA;NA
ESV53,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Microglossum;s__rufescens
ESV54,p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;NA;NA
ESV55,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactarius;s__camphoratus
ESV56,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__saponaceum
ESV57,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Pseudaegerita;NA
ESV58,p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Geomyces;s__auratus
ESV59,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subsulphurea
ESV60,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__brunneoviolacea
ESV61,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;NA;NA;NA
ESV62,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;NA
ESV63,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Mycosymbioces;NA
ESV64,p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__pseudozygospora
ESV65,p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Neurospora;s__terricola
ESV66,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula;NA
ESV67,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;s__dehlii
ESV68,p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus;NA
ESV69,p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;NA;NA
ESV70,p__Ascomycota;NA;NA;NA;NA;NA
ESV71,p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Coccomyces;s__australis
ESV72,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Clitocybe;s__catinus
ESV73,p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Pseudoanungitea;s__vaccinii
ESV74,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__maius
ESV75,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__echinulatum
ESV76,p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum;s__simile
ESV77,p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Kretzschmaria;NA
ESV78,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyphodiscus;NA
ESV79,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;NA
ESV80,p__Ascomycota;c__Leotiomycetes;NA;NA;NA;NA
ESV81,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavaria;s__fragilis
ESV82,p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Pleurophoma;NA
ESV83,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leptodontidium;s__trabinellum
ESV84,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara;NA
ESV85,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Leotia;s__lubrica
ESV86,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Camarophyllopsis;s__schulzeri
ESV87,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Pochonia;s__bulbillosa
ESV88,p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;NA;NA
ESV89,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;NA;NA
ESV90,p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chaetosphaeria;s__myriocarpa
ESV91,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;NA;NA
ESV92,p__Ascomycota;c__Sordariomycetes;o__Xylariales;NA;NA;NA
ESV93,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Scytalidium;s__lignicola
ESV94,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia;NA
ESV95,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__chlorophana
ESV96,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;NA
ESV97,p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;NA
ESV98,p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;NA;NA
ESV99,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__miniata
ESV100,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;NA;NA
ESV101,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__spirale
ESV102,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;NA
ESV103,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Alatospora;NA
ESV104,p__Basidiomycota;c__Tremellomycetes;o__Tremellales;NA;NA;NA
ESV105,p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__hasegawianum
ESV106,p__Ascomycota;c__Sordariomycetes;NA;NA;NA;NA
ESV107,p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;NA;NA
ESV108,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;NA;NA
ESV109,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus;s__psittacinus
ESV110,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Galerina;s__calyptrata
ESV111,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;NA;NA
ESV112,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;NA;NA
ESV113,p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Piloderma;NA
ESV114,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;NA;NA
ESV115,p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__isabellina
ESV116,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;NA;NA
ESV117,p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;NA;NA
ESV118,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__conica
ESV119,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__rodmanii
ESV120,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__fusiformis
ESV121,p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sowerbyella;s__unicisa
ESV122,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__finlandica
ESV123,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;NA
ESV124,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__verrucosa
ESV125,p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__macrocystis
ESV126,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Hymenoscyphus;NA
ESV127,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Scytalidium;NA
ESV128,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus;s__laetus
ESV129,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;s__cantharellus
ESV130,p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Xanthoconium;NA
ESV131,p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Sagenomella;s__striatispora
ESV132,p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__restricta
ESV133,p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;NA
ESV134,p__Basidiomycota;c__Geminibasidiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;NA
ESV135,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
ESV136,p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;NA
ESV137,p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__verhagenii
ESV138,p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chloridium;s__chloroconium
ESV139,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;NA
